year,state,state_po,total_votes,electoral_votes,democrat_votes,republican_votes,other_votes,democrat_pct,republican_pct,other_pct,more_democrat,winning_party,candidate_name,party,democrat_electoral_votes,republican_electoral_votes
1984,Pennsylvania,PA,4844903,20,2228131,2584323,32449,0.45989176666694875,0.5334106792230928,0.006697554109958445,-0.07351891255614407,republican,Ronald Reagan,republican,0,20
1988,Pennsylvania,PA,4536251,20,2194944,2300087,41220,0.48386740504438575,0.5070457961872039,0.009086798768410302,-0.023178391142818167,republican,George H.W. Bush,republican,0,20
1992,Pennsylvania,PA,4959810,20,2239164,1791841,928805,0.45146164873251193,0.3612721051814485,0.1872662460860396,0.09018954355106346,democrat,Bill Clinton,democrat,20,0
1996,Pennsylvania,PA,4501307,20,2215819,1801169,484319,0.492261247677619,0.40014355830428805,0.10759519401809296,0.09211768937333092,democrat,Bill Clinton,democrat,20,0
2000,Pennsylvania,PA,4912185,20,2485967,2281127,145091,0.5060817131276611,0.4643813292862545,0.0295369575860844,0.041700383841406674,democrat,Al Gore,democrat,20,0
2004,Pennsylvania,PA,5769590,20,2938095,2793847,37648,0.5092380914415062,0.484236661530542,0.0065252470279517265,0.025001429910964212,democrat,John Kerry,democrat,20,0
2008,Pennsylvania,PA,6013272,20,3276363,2655885,81024,0.5448552801203738,0.4416705247991443,0.013474195080481973,0.10318475532122945,democrat,Barack H. Obama,democrat,20,0
2012,Pennsylvania,PA,5742040,20,2990274,2680434,71332,0.520768577021407,0.46680866033674445,0.012422762641848542,0.053959916684662546,democrat,Barack H. Obama,democrat,20,0
2016,Pennsylvania,PA,6115402,20,2926441,2970733,218228,0.4785361616456285,0.4857788580374602,0.0356849803169113,-0.007242696391831671,republican,Donald J. Trump,republican,0,20
1976,Rhode Island,RI,410584,4,227636,181249,1699,0.5544200455935935,0.4414419461060343,0.004138008300372153,0.11297809948755916,democrat,Jimmy Carter,democrat,4,0
1980,Rhode Island,RI,415967,4,198342,154793,62832,0.4768214786269103,0.3721280774676837,0.15105044390540595,0.1046934011592266,democrat,Jimmy Carter,democrat,4,0
1984,Rhode Island,RI,410489,4,197106,212080,1303,0.4801736465532572,0.5166520905554107,0.0031742628913320452,-0.0364784440021535,republican,Ronald Reagan,republican,0,4
1988,Rhode Island,RI,404622,4,225123,177761,1738,0.5563785459021012,0.43932608706397575,0.004295367033923019,0.11705245883812548,democrat,Michael Dukakis,democrat,4,0
1992,Rhode Island,RI,453365,4,213299,131601,108465,0.4704796356136888,0.29027604689378317,0.23924431749252809,0.1802035887199056,democrat,Bill Clinton,democrat,4,0
1996,Rhode Island,RI,390247,4,233050,104683,52514,0.5971858848370392,0.26824805828103737,0.1345660568819235,0.3289378265560018,democrat,Bill Clinton,democrat,4,0
2000,Rhode Island,RI,409112,4,249508,130555,29049,0.6098770018967911,0.31911799213907194,0.07100500596413696,0.2907590097577191,democrat,Al Gore,democrat,4,0
2004,Rhode Island,RI,437134,4,259760,169046,8328,0.5942342622628302,0.3867143713369356,0.019051366400234252,0.20751989092589457,democrat,John Kerry,democrat,4,0
2008,Rhode Island,RI,471766,4,296571,165391,9804,0.6286400461245617,0.35057846474735355,0.020781489128084685,0.27806158137720816,democrat,Barack H. Obama,democrat,4,0
2012,Rhode Island,RI,446049,4,279677,157204,9168,0.627009588632639,0.35243661570813967,0.020553795659221295,0.27457297292449934,democrat,Barack H. Obama,democrat,4,0
2016,Rhode Island,RI,464144,4,252525,180543,31076,0.5440660657037472,0.3889805749939674,0.06695335930228549,0.15508549070977978,democrat,Hillary Clinton,democrat,4,0
1976,South Carolina,SC,802583,9,450807,346149,5627,0.5616951766982355,0.43129371043244125,0.007011112869323172,0.1304014662657943,democrat,Jimmy Carter,democrat,9,0
1980,South Carolina,SC,888258,9,428220,439277,20761,0.4820896631384125,0.4945376230779796,0.023372713783607914,-0.0124479599395671,republican,Ronald Reagan,republican,0,9
1984,South Carolina,SC,968529,9,344459,615539,8531,0.3556517151267541,0.6355400819180427,0.0088082029552032,-0.2798883667912886,republican,Ronald Reagan,republican,0,9
1988,South Carolina,SC,986009,9,370554,606443,9012,0.37581198548897626,0.6150481385058352,0.009139876005188594,-0.2392361530168589,republican,George H.W. Bush,republican,0,9
1992,South Carolina,SC,1228912,9,525514,577507,125891,0.4276254117463252,0.46993356725298474,0.10244102100069004,-0.04230815550665956,republican,George H.W. Bush,republican,0,9
1996,South Carolina,SC,1150182,9,506152,573339,70691,0.44006252923450373,0.498476762807973,0.061460707957523245,-0.058414233573469254,republican,Robert Dole,republican,0,9
2000,South Carolina,SC,1383902,9,566037,786892,30973,0.40901523373764903,0.5686038462261056,0.022380920036245342,-0.15958861248845657,republican,George W. Bush,republican,0,9
2004,South Carolina,SC,1617700,9,661669,937974,18057,0.40901835939914694,0.5798194968164678,0.011162143784385238,-0.1708011374173209,republican,George W. Bush,republican,0,9
2008,South Carolina,SC,1920969,9,862449,1034896,23624,0.4489656001736624,0.5387364397863786,0.012297960039959,-0.08977083961271626,republican,John McCain,republican,0,9
2012,South Carolina,SC,1964118,9,865941,1071645,26532,0.4408803340736147,0.5456113125586141,0.013508353367771182,-0.10473097848499935,republican,Mitt Romney,republican,0,9
2016,South Carolina,SC,2103027,9,855373,1155389,92265,0.4067341978966509,0.5493933268569543,0.043872475246394836,-0.14265912896030342,republican,Donald J. Trump,republican,0,9
1976,South Dakota,SD,300678,3,147068,151505,2105,0.48912125263570994,0.5038779026067753,0.007000844757514684,-0.014756649971065405,republican,Gerald Ford,republican,0,3
1980,South Dakota,SD,327703,3,103855,198343,25505,0.3169180630021696,0.605252316884496,0.07782962011333433,-0.28833425388232636,republican,Ronald Reagan,republican,0,3
1984,South Dakota,SD,317867,3,116113,200267,1487,0.365287997810405,0.6300339450147389,0.004678057174856151,-0.26474594720433386,republican,Ronald Reagan,republican,0,3
1988,South Dakota,SD,312991,3,145560,165415,2016,0.4650612956922084,0.5284976245323348,0.006441079775456803,-0.06343632884012645,republican,George H.W. Bush,republican,0,3
1992,South Dakota,SD,336254,3,124888,136718,74648,0.37140970813730095,0.4065914457523182,0.22199884611038084,-0.03518173761501725,republican,George H.W. Bush,republican,0,3
1996,South Dakota,SD,323826,3,139333,150543,33950,0.43027119502448846,0.46488855125900946,0.10484025371650207,-0.034617356234521,republican,Robert Dole,republican,0,3
2000,South Dakota,SD,316269,3,118804,190700,6765,0.37564225390411327,0.6029677268401266,0.021390019255760128,-0.2273254729360133,republican,George W. Bush,republican,0,3
2004,South Dakota,SD,388215,3,149244,232584,6387,0.38443645917854796,0.5991113171824891,0.016452223638962947,-0.21467485800394115,republican,George W. Bush,republican,0,3
2008,South Dakota,SD,381975,3,170924,203054,7997,0.44747431114601743,0.5315897637279927,0.02093592512598992,-0.08411545258197528,republican,John McCain,republican,0,3
2012,South Dakota,SD,363815,3,145039,210610,8166,0.3986614075835246,0.5788931187554114,0.022445473661064003,-0.1802317111718868,republican,Mitt Romney,republican,0,3
2016,South Dakota,SD,370093,3,117458,227721,24914,0.3173742815994899,0.615307503789588,0.06731821461092212,-0.2979332221900981,republican,Donald J. Trump,republican,0,3
1976,Tennessee,TN,1476346,11,825879,633969,16498,0.5594074830696869,0.4294176297426213,0.011174887187691775,0.12998985332706559,democrat,Jimmy Carter,democrat,11,0
1980,Tennessee,TN,1617616,11,783051,787761,46804,0.4840771851910466,0.48698887745917446,0.028933937349778935,-0.0029116922681278745,republican,Ronald Reagan,republican,0,11
1984,Tennessee,TN,1711993,11,711714,990212,10067,0.4157224941924412,0.5783972247550078,0.005880281052551032,-0.16267473056256654,republican,Ronald Reagan,republican,0,11
1988,Tennessee,TN,1636250,11,679794,947233,9223,0.4154585179526356,0.5789048128342246,0.005636669213139801,-0.16344629488158896,republican,George H.W. Bush,republican,0,11
1992,Tennessee,TN,1982638,11,933521,841300,207817,0.47084793088803906,0.42433364033171966,0.10481842878024128,0.04651429055631939,democrat,Bill Clinton,democrat,11,0
1996,Tennessee,TN,1894105,11,909146,863530,121429,0.4799871179264085,0.4559039757563599,0.06410890631723162,0.024083142170048644,democrat,Bill Clinton,democrat,11,0
2000,Tennessee,TN,2076181,11,981720,1061949,32512,0.4728489471775341,0.5114915318076796,0.015659521014786282,-0.03864258463014547,republican,George W. Bush,republican,0,11
2004,Tennessee,TN,2437319,11,1036477,1384375,16467,0.4252529110879618,0.5679908949136325,0.006756193998405625,-0.1427379838256707,republican,George W. Bush,republican,0,11
2008,Tennessee,TN,2599749,11,1087437,1479178,33134,0.4182853806271298,0.5689695428289423,0.012745076543927895,-0.15068416220181252,republican,John McCain,republican,0,11
2012,Tennessee,TN,2458577,11,960709,1462330,35538,0.39075814993795194,0.5947871471993759,0.014454702862672189,-0.20402899726142393,republican,Mitt Romney,republican,0,11
2016,Tennessee,TN,2508027,11,870695,1522925,114407,0.34716332798650096,0.6072203369421462,0.0456163350713529,-0.2600570089556452,republican,Donald J. Trump,republican,0,11
1976,Texas,TX,4071884,38,2082319,1953300,36265,0.511389568072175,0.4797042351894111,0.008906196738413962,0.03168533288276387,democrat,Jimmy Carter,democrat,38,0
1980,Texas,TX,4541636,38,1881147,2510705,149784,0.414200301389191,0.5528195126161586,0.032980185994650385,-0.13861921122696758,republican,Ronald Reagan,republican,0,38
1984,Texas,TX,5397571,38,1949276,3433428,14867,0.36113948292667203,0.636106129961051,0.0027543871122769855,-0.27496664703437895,republican,Ronald Reagan,republican,0,38
1988,Texas,TX,5427410,38,2352748,3036829,37833,0.433493692203095,0.559535579585843,0.006970728211061998,-0.12604188738274796,republican,George H.W. Bush,republican,0,38
1992,Texas,TX,6154018,38,2281815,2496071,1376132,0.37078458334051023,0.40560021111410466,0.22361520554538514,-0.034815627773594426,republican,George H.W. Bush,republican,0,38
1996,Texas,TX,5611644,38,2459683,2736167,415794,0.43831771937065145,0.48758741645050896,0.07409486417883956,-0.04926969707985751,republican,Robert Dole,republican,0,38
2000,Texas,TX,6407637,38,2433746,3799639,174252,0.37981958091571044,0.5929859946810345,0.027194424403255053,-0.21316641376532408,republican,George W. Bush,republican,0,38
2004,Texas,TX,7410749,38,2832704,4526917,51128,0.3822426046274135,0.6108582276906154,0.006899167681971147,-0.22861562306320188,republican,George W. Bush,republican,0,38
2008,Texas,TX,8077795,38,3528633,4479328,69834,0.4368312144588963,0.5545236045232641,0.008645181017839645,-0.11769239006436782,republican,John McCain,republican,0,38
2012,Texas,TX,7993851,38,3308124,4569843,115884,0.41383358283760857,0.5716697746805639,0.014496642481827594,-0.15783619184295533,republican,Mitt Romney,republican,0,38
2016,Texas,TX,8969226,38,3877868,4685047,406311,0.4323525798101196,0.5223468557933538,0.04530056439652652,-0.08999427598323423,republican,Donald J. Trump,republican,0,38
1976,Utah,UT,541218,6,182110,337908,21200,0.3364817873758818,0.6243473055219892,0.0391709071021289,-0.28786551814610745,republican,Gerald Ford,republican,0,6
1980,Utah,UT,604152,6,124266,439687,40199,0.20568664839311962,0.7277754604801441,0.06653789112673632,-0.5220888120870244,republican,Ronald Reagan,republican,0,6
1984,Utah,UT,629656,6,155369,469105,5182,0.246752194849251,0.7450179145438144,0.00822989060693458,-0.49826571969456335,republican,Ronald Reagan,republican,0,6
1988,Utah,UT,647008,6,207343,428442,11223,0.320464352836441,0.6621896483505614,0.017345998812997674,-0.3417252955141204,republican,George H.W. Bush,republican,0,6
1992,Utah,UT,743998,6,183429,322632,237937,0.24654501759413333,0.4336463270062554,0.3198086553996113,-0.18710130941212205,republican,George H.W. Bush,republican,0,6
1996,Utah,UT,665629,6,221633,361911,82085,0.3329677643251721,0.54371278895601,0.12331944671881784,-0.21074502463083794,republican,Robert Dole,republican,0,6
2000,Utah,UT,770754,6,203053,515096,52605,0.26344722181136915,0.6683014295092857,0.06825134867934517,-0.4048542076979166,republican,George W. Bush,republican,0,6
2004,Utah,UT,927844,6,241199,663742,22903,0.25995641508701894,0.7153594785330293,0.024684106379951803,-0.45540306344601034,republican,George W. Bush,republican,0,6
2008,Utah,UT,952370,6,327670,596030,28670,0.3440574566607516,0.6258386971450172,0.030103846194231235,-0.28178124048426556,republican,John McCain,republican,0,6
2012,Utah,UT,1017440,6,251813,740600,25027,0.2474966582796037,0.727905331026891,0.024598010693505267,-0.4804086727472873,republican,Mitt Romney,republican,0,6
2016,Utah,UT,1131317,6,310674,515211,305432,0.2746126859226901,0.4554081658810042,0.2699791481963057,-0.18079547995831408,republican,Donald J. Trump,republican,0,6
1976,Vermont,VT,183902,3,77798,100387,5717,0.42304053245750456,0.5458722580504834,0.03108720949201205,-0.12283172559297889,republican,Gerald Ford,republican,0,3
1980,Vermont,VT,213299,3,81952,94628,36719,0.3842118340920492,0.4436401483363729,0.17214801757157794,-0.05942831424432371,republican,Ronald Reagan,republican,0,3
1984,Vermont,VT,234561,3,95730,135865,2966,0.408124112704158,0.579230988953833,0.012644898342009115,-0.17110687624967497,republican,Ronald Reagan,republican,0,3
1988,Vermont,VT,243328,3,115775,124331,3222,0.47579809968437664,0.510960514203051,0.01324138611257233,-0.035162414518674356,republican,George H.W. Bush,republican,0,3
1992,Vermont,VT,289701,3,133592,88122,67987,0.46113751764750555,0.30418258825478683,0.23467989409770765,0.1569549293927187,democrat,Bill Clinton,democrat,3,0
1996,Vermont,VT,258449,3,137894,80352,40203,0.5335443356329489,0.31090079667555304,0.15555486769149812,0.22264353895739586,democrat,Bill Clinton,democrat,3,0
2000,Vermont,VT,294308,3,149022,119775,25511,0.5063470921619528,0.4069716079753184,0.08668129986272884,0.09937548418663444,democrat,Al Gore,democrat,3,0
2004,Vermont,VT,312309,3,184067,121180,7062,0.5893746257712714,0.38801315363950445,0.022612220589224134,0.20136147213176697,democrat,John Kerry,democrat,3,0
2008,Vermont,VT,325046,3,219262,98974,6810,0.6745568319560924,0.30449228724549754,0.020950880798410072,0.37006454471059486,democrat,Barack H. Obama,democrat,3,0
2012,Vermont,VT,299290,3,199239,92698,7353,0.665705503023823,0.3097263523672692,0.024568144608907747,0.35597915065655383,democrat,Barack H. Obama,democrat,3,0
2016,Vermont,VT,320467,3,178573,95369,46525,0.5572274212321393,0.29759382401308093,0.14517875475477973,0.2596335972190584,democrat,Hillary Clinton,democrat,3,0
1976,Virginia,VA,1697094,13,813896,836554,46644,0.47958215632133516,0.4929332140706408,0.02748462960802407,-0.013351057749305617,republican,Gerald Ford,republican,0,13
1980,Virginia,VA,1866032,13,752174,989609,124249,0.40308740686118993,0.5303279900880585,0.06658460305075155,-0.1272405832268686,republican,Ronald Reagan,republican,0,13
1984,Virginia,VA,2146635,13,796250,1337078,13307,0.3709293848278818,0.622871610683698,0.006199004488420249,-0.2519422258558162,republican,Ronald Reagan,republican,0,13
1988,Virginia,VA,2191609,13,859799,1309162,22648,0.3923140487194568,0.5973519911626572,0.010333960117885992,-0.20503794244320045,republican,George H.W. Bush,republican,0,13
1992,Virginia,VA,2559129,13,1038650,1150517,369962,0.4058607440265809,0.4495736635394308,0.14456559243398828,-0.04371291951284989,republican,George H.W. Bush,republican,0,13
1996,Virginia,VA,2416642,13,1091060,1138350,187232,0.45147771163457395,0.471046187230049,0.0774761011353771,-0.019568475595475032,republican,Robert Dole,republican,0,13
2000,Virginia,VA,2739447,13,1217290,1437490,84667,0.4443561054475593,0.5247372918694905,0.030906602682950247,-0.08038118642193115,republican,George W. Bush,republican,0,13
2004,Virginia,VA,3195415,13,1454742,1716959,23714,0.4552591760381672,0.5373195656902156,0.007421258271617302,-0.08206038965204837,republican,George W. Bush,republican,0,13
2008,Virginia,VA,3723260,13,1959532,1725005,38723,0.5262946987317566,0.46330500690255316,0.010400294365690283,0.06298969182920344,democrat,Barack H. Obama,democrat,13,0
2012,Virginia,VA,3854489,13,1971820,1822522,60147,0.5115645679621864,0.4728310289638912,0.01560440307392238,0.038733538998295236,democrat,Barack H. Obama,democrat,13,0
2016,Virginia,VA,3982752,13,1981473,1769443,231836,0.49751352833417695,0.44427647013924043,0.05821000152658262,0.053237058194936515,democrat,Hillary Clinton,democrat,13,0
1976,Washington,WA,1555534,12,717323,777732,60479,0.46114260440466104,0.49997749968821,0.038879895907129,-0.03883489528354894,republican,Gerald Ford,republican,0,12
1980,Washington,WA,1742394,12,650193,865244,226957,0.3731607202504141,0.4965834363525127,0.13025584339707322,-0.1234227161020986,republican,Ronald Reagan,republican,0,12
1984,Washington,WA,1874910,12,798352,1051670,24888,0.42580817212559535,0.5609175907110208,0.013274237163383842,-0.1351094185854254,republican,Ronald Reagan,republican,0,12
1988,Washington,WA,1865253,12,933516,903835,27902,0.5004768790078343,0.48456429235068915,0.014958828641476518,0.015912586657145178,democrat,Michael Dukakis,democrat,12,0
1992,Washington,WA,2287565,12,993037,731234,563294,0.43410220037463415,0.31965605348919046,0.24624174613617536,0.11444614688544369,democrat,Bill Clinton,democrat,12,0
1996,Washington,WA,2253837,12,1123323,840712,289802,0.49840472048333573,0.3730136651408243,0.12858161437583995,0.12539105534251144,democrat,Bill Clinton,democrat,12,0
2000,Washington,WA,2487433,12,1247652,1108864,130917,0.5015821531675426,0.44578647947502503,0.05263136735743234,0.05579567369251759,democrat,Al Gore,democrat,12,0
2004,Washington,WA,2859084,12,1510201,1304894,43989,0.5282114831183694,0.45640281992414355,0.015385696957487083,0.07180866319422585,democrat,John Kerry,democrat,12,0
2008,Washington,WA,3036878,12,1750848,1229216,56814,0.5765289221364835,0.40476304942114893,0.018708028442367457,0.1717658727153346,democrat,Barack H. Obama,democrat,12,0
2012,Washington,WA,3125516,12,1755396,1290670,79450,0.5616339829967276,0.4129462143210913,0.02541980268218112,0.14868776867563632,democrat,Barack H. Obama,democrat,12,0
2016,Washington,WA,3317019,12,1742718,1221747,352554,0.5253868006182659,0.3683268018663746,0.10628639751535943,0.1570599987518913,democrat,Hillary Clinton,democrat,12,0
1976,West Virginia,WV,750590,5,435864,314726,0,0.5806951864533234,0.4193048135466766,0.0,0.16139037290664682,democrat,Jimmy Carter,democrat,5,0
1980,West Virginia,WV,737715,5,367462,334206,36047,0.49810834807479853,0.45302860860901567,0.04886304331618579,0.045079739465782864,democrat,Jimmy Carter,democrat,5,0
1984,West Virginia,WV,735742,5,328125,405483,2134,0.44597834567008543,0.551121181066189,0.0029004732637255993,-0.10514283539610358,republican,Ronald Reagan,republican,0,5
1988,West Virginia,WV,653311,5,341016,310065,2230,0.5219811085378939,0.47460550947404834,0.003413381988057755,0.047375599063845586,democrat,Michael Dukakis,democrat,5,0
1992,West Virginia,WV,683677,5,331001,241974,110702,0.4841482161898089,0.35393029164356854,0.16192149216662255,0.13021792454624037,democrat,Bill Clinton,democrat,5,0
1996,West Virginia,WV,636459,5,327812,233946,74701,0.515055958042859,0.3675743449303097,0.11736969702683127,0.14748161311254926,democrat,Bill Clinton,democrat,5,0
2000,West Virginia,WV,648124,5,295497,336475,16152,0.4559266436669526,0.5191521992705099,0.024921157062537416,-0.0632255556035573,republican,George W. Bush,republican,0,5
2004,West Virginia,WV,755792,5,326541,423778,5473,0.43205141097021404,0.5607071786946674,0.007241410335118657,-0.1286557677244533,republican,George W. Bush,republican,0,5
2008,West Virginia,WV,713451,5,303857,397466,12128,0.42589750382296754,0.5571034310695478,0.016999065107484605,-0.1312059272465803,republican,John McCain,republican,0,5
2012,West Virginia,WV,670438,5,238269,417655,14514,0.3553930415638732,0.6229584241943327,0.021648534241794172,-0.2675653826304595,republican,Mitt Romney,republican,0,5
2016,West Virginia,WV,713051,5,188794,489371,34886,0.26476928017771517,0.6863057481161936,0.04892497170609115,-0.42153646793847843,republican,Donald J. Trump,republican,0,5
1976,Wisconsin,WI,2101336,10,1040232,1004987,56117,0.4950336357441171,0.4782609730190698,0.02670539123681315,0.016772662725047294,democrat,Jimmy Carter,democrat,10,0
1980,Wisconsin,WI,2273221,10,981584,1088845,202792,0.4318031550825899,0.47898774470234085,0.08920910021506928,-0.04718458961975097,republican,Ronald Reagan,republican,0,10
1984,Wisconsin,WI,2211689,10,995740,1198584,17365,0.4502170060980545,0.5419315283477921,0.007851465554153409,-0.09171452224973764,republican,Ronald Reagan,republican,0,10
1988,Wisconsin,WI,2191608,10,1126794,1047499,17315,0.5141403024628491,0.47795910582549433,0.007900591711656465,0.03618119663735481,democrat,Michael Dukakis,democrat,10,0
1992,Wisconsin,WI,2531064,10,1041066,930855,559143,0.4113155574098482,0.36777220963199664,0.22091223295815515,0.04354334777785157,democrat,Bill Clinton,democrat,10,0
1996,Wisconsin,WI,2196169,10,1071971,845029,279169,0.48810952162606797,0.3847741225743556,0.12711635579957645,0.10333539905171235,democrat,Bill Clinton,democrat,10,0
2000,Wisconsin,WI,2598607,10,1242987,1237279,118341,0.47832819660687437,0.4761316351414431,0.045540168251682535,0.0021965614654312904,democrat,Al Gore,democrat,10,0
2004,Wisconsin,WI,2997007,10,1489504,1478120,29383,0.49699717084411216,0.49319871458425024,0.009804114571637637,0.0037984562598619154,democrat,John Kerry,democrat,10,0
2008,Wisconsin,WI,2983417,10,1677211,1262393,43813,0.5621778651794235,0.4231366248834809,0.01468550993709562,0.13904124029594256,democrat,Barack H. Obama,democrat,10,0
2012,Wisconsin,WI,3071434,10,1620985,1410966,39483,0.5277616253515459,0.4593834671361976,0.01285490751225649,0.06837815821534832,democrat,Barack H. Obama,democrat,10,0
2016,Wisconsin,WI,2976150,10,1382536,1405284,188330,0.4645384137224266,0.4721818456731012,0.06327974060447222,-0.007643431950674573,republican,Donald J. Trump,republican,0,10
1976,Wyoming,WY,156343,3,62239,92717,1387,0.39809265525159426,0.5930358250769142,0.008871519671491529,-0.19494316982531995,republican,Gerald Ford,republican,0,3
1980,Wyoming,WY,176713,3,49427,110700,16586,0.27970211586018007,0.6264394809663126,0.09385840317350733,-0.34673736510613257,republican,Ronald Reagan,republican,0,3
1984,Wyoming,WY,188968,3,53370,133241,2357,0.28242877100884806,0.7050982176876508,0.012473011303501123,-0.42266944667880274,republican,Ronald Reagan,republican,0,3
1988,Wyoming,WY,176551,3,67113,106867,2571,0.3801337857049804,0.6053038498790718,0.0145623644159478,-0.2251700641740914,republican,George H.W. Bush,republican,0,3
1992,Wyoming,WY,199884,3,68160,79347,52377,0.34099777871165277,0.3969652398391067,0.26203698144924054,-0.05596746112745393,republican,George H.W. Bush,republican,0,3
1996,Wyoming,WY,211571,3,77934,105388,28249,0.3683586124752447,0.4981211980848037,0.1335201894399516,-0.129762585609559,republican,Robert Dole,republican,0,3
2000,Wyoming,WY,213726,3,60481,147947,5298,0.282983820405566,0.6922274313841086,0.02478874821032537,-0.40924361097854256,republican,George W. Bush,republican,0,3
2004,Wyoming,WY,243861,3,70776,167629,5456,0.2902309102316484,0.6873956885274808,0.022373401240870824,-0.3971647782958324,republican,George W. Bush,republican,0,3
2008,Wyoming,WY,254904,3,82868,164958,7078,0.32509493770203685,0.6471377459749553,0.027767316323007878,-0.3220428082729185,republican,John McCain,republican,0,3
2012,Wyoming,WY,250701,3,69286,170962,10453,0.2763690611525283,0.6819358518713527,0.04169508697611896,-0.40556679071882445,republican,Mitt Romney,republican,0,3
2016,Wyoming,WY,258788,3,55973,174419,28396,0.2162890087639303,0.6739841105460841,0.10972688068998562,-0.4576951017821538,republican,Donald J. Trump,republican,0,3
